WS_HH, Ti_HH, Shear, WS_Eq, RSS, Power_mean, Power_std
19.0108, 18.6519, 0.0152722, 18.9942, 0.0245714, 1470.42, 92.0754
15.2047, 11.1686, 0.0613988, 15.233, 0.0136929, 1484.39, 44.7828
18.5199, 21.5948, 0.322433, 18.4888, 0.0384903, 1467.48, 104.127
19.2719, 19.148, -0.0460564, 19.2881, 0.0258715, 1469.52, 95.5252
12.1224, 33.6965, 0.206956, 12.0263, 0.0406455, 1226.33, 329.792
13.021, 31.1299, 0.403361, 12.9791, 0.0251353, 1338.5, 245.797
11.9754, 27.7586, -0.0410794, 11.9404, 0.032519, 1284.55, 272.72
4.16925, 13.8386, 0.325149, 4.14626, 0.00431193, 77.6279, 24.1513
3.57494, 35.8861, -0.351821, 3.65907, 0.0034363, 58.1616, 34.4748
18.023, 24.2379, -0.272686, 18.2411, 0.0382497, 1463.83, 114.982
15.531, 9.81368, 0.170095, 15.5378, 0.0109105, 1485.91, 40.0657
16.1993, 7.27291, -0.442764, 16.619, 0.00379398, 1489.24, 31.4926
6.35347, 5.93382, -0.0619717, 6.37108, 0.000921808, 278.168, 31.0518
22.0341, 8.98028, 0.405146, 22.0444, 0.00856609, 1482.38, 50.9819
5.39963, 25.4391, -0.349766, 5.54711, 0.00948738, 194.57, 99.3658
15.2708, 5.14606, 0.266293, 15.2637, 0.00295859, 1492.42, 20.9738
14.2083, 15.8252, -0.38517, 14.5441, 0.0055975, 1483.64, 52.8857
14.5193, 27.5469, 0.263171, 14.5479, 0.0206007, 1434.49, 155.358
